n,r,m
"(:Option {code: -O,works_without_scan: false,name: OS Detection,description: Active la détection du système d'exploitation,category: detection,requires_root: true})",[:WORKS_WITH],"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -O,works_without_scan: false,name: OS Detection,description: Active la détection du système d'exploitation,category: detection,requires_root: true})"
"(:Option {code: -sV,works_without_scan: false,name: Version Detection,description: Détecte la version des services,category: detection,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -sV,works_without_scan: false,name: Version Detection,description: Détecte la version des services,category: detection,requires_root: false})"
"(:Option {code: -sV,works_without_scan: false,name: Version Detection,description: Détecte la version des services,category: detection,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -sV,works_without_scan: false,name: Version Detection,description: Détecte la version des services,category: detection,requires_root: false})"
"(:Option {code: --script,works_without_scan: false,name: NSE Scripts,description: Exécute des scripts NSE personnalisés,category: scripting,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: --script,works_without_scan: false,name: NSE Scripts,description: Exécute des scripts NSE personnalisés,category: scripting,requires_root: false})"
"(:Option {code: --script,works_without_scan: false,name: NSE Scripts,description: Exécute des scripts NSE personnalisés,category: scripting,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: --script,works_without_scan: false,name: NSE Scripts,description: Exécute des scripts NSE personnalisés,category: scripting,requires_root: false})"
"(:Option {code: -T4,stealth_impact: very_low,speed_impact: boost,works_without_scan: true,name: Aggressive Timing,description: Rapide, assume bonne connexion réseau,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})",[:WORKS_WITH],"(:Option {code: -T4,stealth_impact: very_low,speed_impact: boost,works_without_scan: true,name: Aggressive Timing,description: Rapide, assume bonne connexion réseau,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:WORKS_WITH],(:Scan {name: Host Discovery})
(:Scan {name: Host Discovery}),[:WORKS_WITH],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})"
"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})",[:WORKS_WITH],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})",[:WORKS_WITH],"(:Option {code: -T0,stealth_impact: very_high,speed_impact: critical,works_without_scan: true,name: Paranoid Timing,description: Très lent - Un port à la fois, évite les IDS,category: timing,requires_root: false})"
"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})",[:WORKS_WITH],(:Scan {name: Host Discovery})
(:Scan {name: Host Discovery}),[:WORKS_WITH],"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})"
"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})"
"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})"
"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})"
"(:Scan {protocol: UDP,code: -sU,requires_open_port: false,stealth: medium,name: UDP Scan,scan_type: port_scanning,description: Scan des ports UDP - Très lent, nécessite root, utile pour DNS/SNMP/DHCP,detection_capability: medium,speed: very_slow,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})"
"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sF,requires_open_port: false,stealth: very_high,name: FIN Scan,scan_type: port_scanning,description: Envoie paquet TCP avec flag FIN - Évite pare-feu basiques,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})"
"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sN,requires_open_port: false,stealth: very_high,name: NULL Scan,scan_type: port_scanning,description: Paquet TCP sans aucun flag - Fonctionne sur Unix uniquement,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})"
"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})"
"(:Scan {code: -sX,requires_open_port: false,stealth: very_high,name: XMAS Scan,scan_type: port_scanning,description: Flags FIN, PSH, URG activés - Ressemble à un paquet de Noël,detection_capability: medium,requires_root: true,speed: slow,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})"
"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sA,requires_open_port: false,stealth: high,name: ACK Scan,scan_type: firewall_detection,description: Envoie paquets ACK - Détecte pare-feu, ne découvre pas ports ouverts,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})"
"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sW,requires_open_port: false,stealth: high,name: Window Scan,scan_type: firewall_detection,description: Variante ACK qui examine la fenêtre TCP,detection_capability: low,speed: medium,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})"
"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sn,requires_open_port: false,stealth: low,name: Ping Scan,scan_type: host_discovery,description: Découverte hôtes sans scan ports - Ping uniquement, très rapide,detection_capability: low,speed: very_fast,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})"
"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -O,dependency: Requires open AND closed ports,requires_open_port: true,stealth: low,name: OS Detection,scan_type: os_detection,description: Détecte le système d'exploitation,detection_capability: high,speed: medium,requires_root: true,requires_closed_port: true})",[:WORKS_WITH],"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})"
"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sV,dependency: Requires open port,requires_open_port: true,stealth: low,name: Version Detection,scan_type: version_detection,description: Détecte la version des services sur ports ouverts,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})"
"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})"
"(:Scan {code: -A,dependency: Requires open AND closed ports,requires_open_port: true,stealth: very_low,name: Aggressive Scan,scan_type: advanced_scanning,description: Combine -sV -O --script --traceroute - Puissant mais très bruyant,detection_capability: very_high,speed: slow,requires_root: true,requires_closed_port: true})",[:WORKS_WITH],"(:Option {code: -T1,speed_impact: severe,stealth_impact: high,works_without_scan: true,name: Sneaky Timing,description: Lent et furtif pour éviter les alertes,category: timing,requires_root: false})"
"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})",[:WORKS_WITH],(:Scan {name: Host Discovery})
(:Scan {name: Host Discovery}),[:WORKS_WITH],"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})"
"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})"
"(:Scan {code: -sS,requires_open_port: false,stealth: high,name: SYN Scan,scan_type: port_scanning,description: TCP SYN (Half-open) - Rapide et stealthy, ne complète pas la connexion,detection_capability: high,speed: fast,requires_root: true,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})"
"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})",[:WORKS_WITH],"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})"
"(:Scan {code: -sT,requires_open_port: false,stealth: low,name: TCP Connect Scan,scan_type: port_scanning,description: Complète la connexion TCP - Plus lent mais détectable et sans privilèges,detection_capability: high,speed: slow,requires_root: false,requires_closed_port: false})",[:WORKS_WITH],"(:Option {code: -Pn,works_without_scan: true,name: Skip Ping,description: Assume l'hôte en ligne, ne pas faire de ping préalable,category: discovery,requires_root: false})"
